group,name,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,0,-0.3368513783188394,1.940951859470722,-3.1334963915055947,3.1406584225770864,0.15351137517568123,15.575925318110302,-188.30516000956592,188.21136912749466,70.52546092562707,67.4028350887208,0.25832513605246304,342.90538656067895,0.09893758300132802,0.616331096196868
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,1,-0.1209742031766446,1.9873078520926077,-3.1408942414056105,3.140905902542742,-0.3478198875191221,15.466224922021741,-188.24406896382663,188.25789630674277,136.56051426702908,91.66145216042845,1.006832798568291,419.578250322755,0.12084993359893759,0.6743589743589743
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,2,-0.1641248100549722,1.9735534903953484,-3.1393285556415553,3.1379417100374303,-0.09816136857822068,16.700328050657458,-188.01361190720553,188.20757005794218,65.42648533574183,57.48061247350688,1.3524038093831126,378.7521704428127,0.11819389110225764,0.6604868913857678
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,3,-0.15724928000730357,2.050342484020411,-3.1392298613340053,3.1380605514031146,0.08751951451880041,9.294350416288701,-188.20442800060044,188.0457737980008,31.645581696979672,46.33181932223309,0.19095020348503025,384.2494963334752,0.09760956175298804,0.6467120181405897
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,4,0.04232929944501288,1.8302377565630672,-3.139922921986578,3.1408204577861776,-0.34340207109652215,18.131316838478245,-7.216722267248114,187.67062777341937,102.118381003008,64.03078830923349,3.8546225049062337,328.52851923195556,0.0796812749003984,0.2980555555555556
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,5,0.3403665872146641,1.6737498793182493,-3.137966032005713,3.1291496349766934,-0.5509540133026417,11.442633820830391,-186.57543446329998,185.65986738855668,107.48050747950766,70.34851303648873,0.0,334.10443263031004,0.10092961487383798,0.2381578947368421
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,6,0.09610482781286818,1.9391143474877028,-3.139944072247911,3.1339822186668562,-0.1589167127842843,11.327545134722149,-188.060158400795,188.19794486163406,51.11672345684458,56.25965178427385,0.6839828141947246,366.80124896832467,0.11155378486055777,0.5448412698412698
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,7,0.4300170659760624,1.5808873114208446,-3.139069542495644,3.1371209591289784,0.07613013380233108,10.697417264993467,-187.76449015741306,187.78225665433237,61.59963562819219,50.39160211455142,1.3466843693801023,326.27126862822604,0.08632138114209828,0.5556410256410256
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,8,-0.98657610482948,1.9012439714707585,-3.095732383501317,3.117070412445049,-0.10707648151683197,4.935140102319502,-187.90353075774516,1.6382430220653927,45.92690616248739,66.34790388522627,0.44446977949244443,330.5672893937282,0.027224435590969456,1.1878048780487804
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,9,0.31419367598776754,1.0657808434718348,-3.0429704529085404,3.0241330897948457,1.9397794610115215,1.9945748868775703,-3.2656799378012225,7.654558841366969,108.63425534138133,65.32118138377398,5.726200667824003,289.6530879273773,0.025232403718459494,0.26403508771929823
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,10,0.16116330083866826,2.141646115236745,-3.134387780357901,3.131558082622342,0.43092971727096824,18.52797949866327,-187.23269392428432,187.72581863656526,86.11213230437922,88.35745637284093,0.6679112751713666,451.68743597149836,0.02390438247011952,0.7564814814814814
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,11,-1.4812129237405272,0.0013791568218261441,-1.4827919626470516,-1.4802443773676373,0.7941726798013171,0.13822821322714934,0.6659441190533633,0.9405980535245595,155.22348375993715,13.061398887693848,141.1561360840141,166.96698115372078,0.0006640106241699867,0.1
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,12,-0.8280252691864899,1.3171716065982424,-2.6333875912497766,1.7639272415397493,0.222720414938857,0.6812830479805576,-1.0983981765455142,3.353286891737067,41.681739928714016,55.3496678508437,3.4348303243577702,287.87326123125877,0.01195219123505976,0.34814814814814815
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,14,0.02248637536217294,2.809965566256162,-3.138760755923709,3.128082384203192,2.385461275702057,31.25936810034926,-187.45472043840581,187.7878418518455,227.50969833039335,78.46879518019223,5.139379067341481,366.7665762035451,0.009296148738379814,0.7666666666666667
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,15,-0.14224426061287748,1.6371093651327528,-3.1411599435524766,3.1311649686895007,2.2759323181391027,23.43539393346045,-3.0945165120910967,188.19355675240854,136.4249517669357,93.18093054606734,2.3302040063578775,323.2607822127323,0.0033200531208499337,0.43333333333333335
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,16,-1.5211925176091898,0.39188336263444024,-2.2507481207039106,-0.09440076993514623,0.3693246344362403,1.0683154381338362,-1.2163285939473778,2.8513638571696864,144.7981524446884,97.5438836062455,6.273252546358498,361.3084990653819,0.010624169986719787,0.18125
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,18,0.8248755848663328,2.08025817024187,-2.5599941637020276,3.0293268492719974,0.015716451469675326,0.12754597694186184,-0.5743708679147419,0.38380219063868015,19.466537584726797,9.550855453872202,1.4347109887931155,50.04451558276604,0.0026560424966799467,2.15
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,19,-0.7570241837239731,1.9366090442407906,-3.1240894276610542,3.0482702249839817,-0.331338581031242,1.5988774911624872,-3.164861880719605,3.4335232861072873,171.41248367095577,94.64078569350285,7.345057538250453,375.01884147037526,0.005312084993359893,0.2708333333333333
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,20,-0.2825831063340842,1.8286771726827895,-3.103141444342849,2.9256005555336486,-2.0333897472941835,20.676344308632977,-183.95337033149337,6.896857843790203,88.24804957249417,61.186523371112436,4.7056477829805425,256.5961612623326,0.006640106241699867,0.26666666666666666
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,21,0.6164530446463543,1.5906024140567925,-2.891998153524064,3.1381748547659365,-0.0731817646796426,28.044049121081503,-187.09295483820458,184.67068303360836,178.726458830618,65.31851889155702,17.40628891545536,301.04754148548153,0.008632138114209827,0.23076923076923078
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,22,1.7107499915984752,0.18693016081933486,1.4640600188472097,2.4300716696660034,-0.6210406839681067,1.1462329795027375,-4.610243088875188,0.6429936604441888,304.1190067209613,52.752431690320556,146.59010497098075,402.72399351469824,0.0013280212483399733,0.9666666666666667
Control,mj_11_46_50_ncb1613-convertedDLC_resnet50_MoSeq_trackApr25shuffle4_500001_filtered,24,0.26723483608134435,0.4468345632192937,-0.13967565347038577,1.1912050508828695,-2.226526474002004,1.5126026252529854,-4.7161838539706675,-0.43940767003784365,58.22731209538097,32.20716656627141,3.996766528330657,122.83276761791795,0.0006640106241699867,0.7
